pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
1510,zcbenz,Employees,zcbenz,Employees,Yes
1509,mojombo,Volunteers,nathansobo,Employees,No
1508,mojombo,Volunteers,mojombo,Volunteers,Yes
1507,probablycorey,Employees,probablycorey,Employees,Yes
1506,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1503,zcbenz,Employees,zcbenz,Employees,Yes
1499,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1498,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1497,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1493,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1492,nathansobo,Employees,nathansobo,Employees,Yes
1491,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1489,probablycorey,Employees,probablycorey,Employees,Yes
1487,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1486,probablycorey,Employees,probablycorey,Employees,Yes
1485,zcbenz,Employees,zcbenz,Employees,Yes
1484,jasonrudolph,Employees,probablycorey,Employees,No
1480,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1473,zcbenz,Employees,zcbenz,Employees,Yes
1467,zcbenz,Employees,zcbenz,Employees,Yes
1464,probablycorey,Employees,probablycorey,Employees,Yes
1459,zcbenz,Employees,zcbenz,Employees,Yes
1457,shama,Volunteers,nathansobo,Employees,No
1456,probablycorey,Employees,probablycorey,Employees,Yes
1455,nathansobo,Employees,nathansobo,Employees,Yes
1451,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1449,BinaryMuse,Employees,nathansobo,Employees,No
1443,zcbenz,Employees,zcbenz,Employees,Yes
1441,nathansobo,Employees,nathansobo,Employees,Yes
1439,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1437,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1434,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1423,nathansobo,Employees,nathansobo,Employees,Yes
1420,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1417,nathansobo,Employees,nathansobo,Employees,Yes
1416,nathansobo,Employees,nathansobo,Employees,Yes
1415,nathansobo,Employees,nathansobo,Employees,Yes
1413,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1411,nathansobo,Employees,nathansobo,Employees,Yes
1410,nathansobo,Employees,nathansobo,Employees,Yes
1408,probablycorey,Employees,probablycorey,Employees,Yes
1403,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1400,benogle,Volunteers,benogle,Volunteers,Yes
1398,probablycorey,Employees,probablycorey,Employees,Yes
1380,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1379,probablycorey,Employees,nathansobo,Employees,No
1378,probablycorey,Employees,probablycorey,Employees,Yes
1375,nathansobo,Employees,probablycorey,Employees,No
1374,kevinsawicki,Employees,kevinsawicki,Employees,Yes
